allocine_id,titre,annee,acteur
45667,Michel Vaillant,2003,Jean-Pierre Cassel
40157,Le Purificateur,2003,James Greene (III)
40157,Le Purificateur,2003,Heath Ledger
40157,Le Purificateur,2003,Shannyn Sossamon
35965,Stormy Weather,2003,François Petry
35965,Stormy Weather,2003,Élodie Bouchez
35965,Stormy Weather,2003,Didda Jonsdottir
53392,Mon voyage d'hiver,2003,Vincent Dieutre
53392,Mon voyage d'hiver,2003,Itvan Kebadian
53392,Mon voyage d'hiver,2003,Jorg Neitzert
28876,Variété française,2003,Frédéric Videau
28876,Variété française,2003,Hélène Fillières
28876,Variété française,2003,Gérard Meylan
49480,Motown : la véritable histoire,2003,Johnny Griffith
49480,Motown : la véritable histoire,2003,Chaka Khan
49480,Motown : la véritable histoire,2003,Andre Braugher
45312,Nada +,2003,Thaïs Valdes
45312,Nada +,2003,Nacho Lugo
45312,Nada +,2003,Daisy Granados
45537,Northfork,2003,James Woods
45537,Northfork,2003,Nick Nolte
45537,Northfork,2003,Claire Forlani
52605,Deux anges,2003,Siavoush Lashgari
52605,Deux anges,2003,Mehran Rajabi
52605,Deux anges,2003,Golshifteh Farahani
28541,Kill Bill: Volume 1,2003,Uma Thurman
28541,Kill Bill: Volume 1,2003,Sonny Chiba
28541,Kill Bill: Volume 1,2003,Lucy Liu
29057,Le Monde de Nemo,2003,Franck Dubosc
29057,Le Monde de Nemo,2003,Albert Brooks
29057,Le Monde de Nemo,2003,Ellen DeGeneres
53779,Le Retour,2003,Vladimir Garine
53779,Le Retour,2003,Ivan Dobronravov
53779,Le Retour,2003,Konstantin Lavronenko
28138,Greetings,2003,Robert De Niro
28138,Greetings,2003,Gerrit Graham
28138,Greetings,2003,Richard Hamilton
52618,Le Monde vivant,2003,Adrien Michaux
52618,Le Monde vivant,2003,Alexis Loret
52618,Le Monde vivant,2003,Laurène Cheilan
35364,Crush le club des frustrées,2003,Andie MacDowell
35364,Crush le club des frustrées,2003,Kenny Doughty
35364,Crush le club des frustrées,2003,Imelda Staunton
39081,Cuba son,2003,Los Jubilados
49628,Rêves de France à Marseille,2003,Michel Samson
49628,Rêves de France à Marseille,2003,Rebia Benarioua
49628,Rêves de France à Marseille,2003,Salah Bariki
53006,Un Rêve algérien,2003,le documentaire Un rêve algérien
53006,Un Rêve algérien,2003,le réalisateur Jean-Pierre Lledo rend hommage à Henri Alleg. Directeur du journal Alger Républicain
53006,Un Rêve algérien,2003,il s'était fait arrêté par les paras pour avoir publié en 1958 le livre La Question
53006,Un Rêve algérien,2003,en pleine guerre d'Algérie
53006,Un Rêve algérien,2003,où il dénonçait les pratiques de l'armée françaises. Le roman La Question a été adapté sur grand écran par Laurent Heynemann (La Question
53006,Un Rêve algérien,2003,1977).
201040,Avec Sonia Wieder-Atherton,2003,Sonia Wieder-Atherton court-métrage de Chantal Akerman
44445,Love Actually,2003,Bill Nighy
44445,Love Actually,2003,Hugh Grant
44445,Love Actually,2003,Liam Neeson
41239,S.W.A.T. unité d'élite,2003,Colin Farrell
41239,S.W.A.T. unité d'élite,2003,Samuel L. Jackson
41239,S.W.A.T. unité d'élite,2003,Jeremy Renner
28677,La prophétie des grenouilles,2003,Michel Piccoli
28677,La prophétie des grenouilles,2003,Anouk Grinberg
28677,La prophétie des grenouilles,2003,Annie Girardot
45156,Elfe,2003,Will Ferrell
45156,Elfe,2003,James Caan
45156,Elfe,2003,Zooey Deschanel
50327,Pas sur la bouche,2003,Sabine Azéma
50327,Pas sur la bouche,2003,Isabelle Nanty
50327,Pas sur la bouche,2003,Audrey Tautou
51733,Merci Docteur Rey,2003,Stanislas Merhar
51733,Merci Docteur Rey,2003,Dianne Wiest
51733,Merci Docteur Rey,2003,Jane Birkin
38005,Amour secret,2003,Emmanuelle Laborit
38005,Amour secret,2003,Lars Otterstedt
38005,Amour secret,2003,Renate Becker
52587,Jellyfish,2003,Joe Odagiri
52587,Jellyfish,2003,Tadanobu Asano
52587,Jellyfish,2003,Tatsuya Fuji
52603,Reconstruction,2003,Nikolaj Lie Kaas
52603,Reconstruction,2003,Maria Bonnevie
52603,Reconstruction,2003,Krister Henriksson
